title,description,creator,recipient,date,date-is-approximate,latitude,longitude,item-information,subject,related-publication,publisher-digital,source,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,cdmid,objectid,youtubeid,object_thumb,object_download,reference_url
"St. Leo Church, photograph 1","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-08photograph1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","189","tchp189","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/189","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/189/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp189.html"
"St. Leo Church, photograph 2","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-08photograph2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","190","tchp190","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/190","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/190/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp190.html"
"Catholic Community Services, photograph","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-08photograph3","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","191","tchp191","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/191","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/191/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp191.html"
"Cynthia Thomas, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-08essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","192","tchp192","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/192","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/192.pdf","erika-b.github.io/tchp_dev/items/tchp192.html"
"Rev. David Algers, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-08trascript1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","193","tchp193","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/193","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/193.pdf","erika-b.github.io/tchp_dev/items/tchp193.html"
"Rev. David Algers, audio","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-08audio1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","194","tchp194","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/194","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/194","erika-b.github.io/tchp_dev/items/tchp194.html"
"Doris Barkley, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-08trascript2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","195","tchp195","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/195","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/195.pdf","erika-b.github.io/tchp_dev/items/tchp195.html"
"Doris Barkley, audio","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-08audio2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","196","tchp196","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/196","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/196","erika-b.github.io/tchp_dev/items/tchp196.html"
"Fr. Bill Bichsel, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-08trascript3","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","197","tchp197","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/197","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/197.pdf","erika-b.github.io/tchp_dev/items/tchp197.html"
"Fr. Bill Bichsel, audio 1","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-08audio3","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","198","tchp198","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/198","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/198","erika-b.github.io/tchp_dev/items/tchp198.html"
"Fr. Bill Bichsel, audio 2","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-08audio4","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","199","tchp199","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/199","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/199","erika-b.github.io/tchp_dev/items/tchp199.html"
"Fr. Bill Bichsel, audio 3","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-08audio5","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","200","tchp200","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/200","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/200","erika-b.github.io/tchp_dev/items/tchp200.html"
"Fr. Bill Bichsel, audio 4","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-08audio6","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","201","tchp201","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/201","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/201","erika-b.github.io/tchp_dev/items/tchp201.html"
"Patricia Ditter, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-08trascript4","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","202","tchp202","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/202","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/202.pdf","erika-b.github.io/tchp_dev/items/tchp202.html"
"Patricia Ditter, audio","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-08audio7","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","203","tchp203","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/203","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/203","erika-b.github.io/tchp_dev/items/tchp203.html"
"Barbara Thomashofski, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-08trascript5","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","204","tchp204","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/204","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/204.pdf","erika-b.github.io/tchp_dev/items/tchp204.html"
"Barbara Thomashofski, audio","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-08audio8","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","205","tchp205","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/205","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/205","erika-b.github.io/tchp_dev/items/tchp205.html"
"Project Bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-08bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","206","tchp206","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/206","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/206.pdf","erika-b.github.io/tchp_dev/items/tchp206.html"
"St. Leo the Great Parish - Tacoma, Washington","Community members and church leaders reflect on the history and legacy of St. Leo Church, a Jesuit parish located in Tacomas Hilltop neighborhood. Long-time parishioners Patricia Ditter and Barbara Thomashofski and former parishioner Doris Barkley discuss the churchs growing pains in the wake of Vatican II and the subsequent emergence of its social justice ministry. Reverend David Alger, director of Associated Ministries, describes some of St. Leos numerous out-reach programs and shares his thoughts on its position as a spiritual anchor within the community. Lastly, Father Bill Bichsel, a former associate pastor at St. Leos and a well-known social activist, discusses his commitment to social justice and his involvement with several church-related projects, such as the Martin Luther King Center.","","","1992","","","","","St. Leo Church (Tacoma, Wash.); Ditter, Patricia--Interviews; Algers, David--Interviews; Bichsel, Bill, 1928-2015--Interviews; Barkley, Doris, 1921--Interviews; Thomashofski, Barbara, 1921--Interviews; Religious institutions--Washington (State)--Tacoma; Church and social problems--Catholic Church; Civic leaders-- Washington (State)--Tacoma--Interviews; Civil rights workers--Washington (State)--Tacoma--Interviews; Civil rights-- Washington (State)--Tacoma; Clergy-- Washington (State)--Tacoma; Neighborhoods-- Washington (State)--Tacoma; Hilltop (Tacoma, Wash.)","","","University of Washington Tacoma Community History Project","","chp1992-08","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","image","cpd","","","207","tchp207","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/207","","erika-b.github.io/tchp_dev/items/tchp207.html"
"Will J. Conner, photograph","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-09photograph1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","208","tchp208","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/208","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/208/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp208.html"
"Temple Theatre, photograph","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-09photograph2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","209","tchp209","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/209","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/209/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp209.html"
"Barbara A. Smith, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-09essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","210","tchp210","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/210","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/210.pdf","erika-b.github.io/tchp_dev/items/tchp210.html"
"Will J. Conner, interview transcript 1","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-09trascript1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","211","tchp211","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/211","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/211.pdf","erika-b.github.io/tchp_dev/items/tchp211.html"
"Will J. Conner, audio 1","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-09audio1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","212","tchp212","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/212","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/212","erika-b.github.io/tchp_dev/items/tchp212.html"
"Will J. Conner, audio 2","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-09audio2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","213","tchp213","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/213","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/213","erika-b.github.io/tchp_dev/items/tchp213.html"
"Will J. Conner, interview transcript 2","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-09trascript2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","214","tchp214","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/214","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/214.pdf","erika-b.github.io/tchp_dev/items/tchp214.html"
"Will J. Conner, audio 3","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-09audio3","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","215","tchp215","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/215","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/215","erika-b.github.io/tchp_dev/items/tchp215.html"
"Project Bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1992-09bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","216","tchp216","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/216","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/216.pdf","erika-b.github.io/tchp_dev/items/tchp216.html"
"From Tules to Tiaras: A History of the Masonic Temple Building and Temple Theatre","Will James Conner talks about his fifty years in the theater management business and shares some of the history of the Temple Theatre, which he ran from 1932 to 1975. Reflecting back on hundreds of stage shows, music productions, and motion pictures, Conner provides some insight into the changing face of entertainment and entertainment technology before, during, and after World War II. In addition to the Temple, Conner also managed a number of other Tacoma theaters, including the Blue Mouse, the Music Box, the Rialto, and the Roxy (now the Pantages), and he touches upon each of these during this lengthy, in-depth interview.","","","1992","","","","","Conner, Will J., 1904-1996; Businesspeople--Washington (State)--Tacoma--Interviews; Theatrical managers--Washington (State)--Tacoma--Interviews; Motion picture theater managers--Washington (State)--Tacoma--Interviews; Theaters--Washington (State)--Tacoma; Musical theater--Washington (State)--Tacoma; World War, 1939-1945--Social aspects; Tacoma (Wash.)--Buildings, structures, etc.","","","University of Washington Tacoma Community History Project","","chp1992-09","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","image","cpd","","","217","tchp217","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/217","","erika-b.github.io/tchp_dev/items/tchp217.html"
"Labor Day Parade 1919, photograph","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1993-02photo","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","218","tchp218","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/218","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/218/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp218.html"
"Kendra Fitzpatrick, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1993-02essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","219","tchp219","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/219","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/219.pdf","erika-b.github.io/tchp_dev/items/tchp219.html"
"Ottilie Markholt, interview transcript 1","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1993-02trascript1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","220","tchp220","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/220","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/220.pdf","erika-b.github.io/tchp_dev/items/tchp220.html"
"Ottilie Markholt, interview transcript 2 with photos","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1993-02trascript2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","221","tchp221","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/221","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/221.pdf","erika-b.github.io/tchp_dev/items/tchp221.html"
"Project bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1993-02bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","222","tchp222","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/222","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/222.pdf","erika-b.github.io/tchp_dev/items/tchp222.html"
"A Blue Collar Town: The Tacoma Labor Movement","Ottilie Markholt talks about her involvement with various Pierce County labor unions, including the Metal Trades Council and the Office Employees Union, and shares some historical perspective on the Tacoma labor movement. A noted author and historian, Markholt also describes her efforts in chronicling the histories of individual union chapters and their national affiliates and provides commentary on a series of photographs showcasing union activities during the 1920s, 1930s, and 1940s.","","","1993","","","","","Markholt, Ottilie--Interviews; Historians--Washington (State)--Tacoma--Interviews; Women labor union members--Washington (State)--Tacoma--Interviews; Labor--Washington (State)--History; Women labor union members--History; Tacoma (Wash.)--History","","","University of Washington Tacoma Community History Project","","chp1993-02","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","image","cpd","","","223","tchp223","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/223","","erika-b.github.io/tchp_dev/items/tchp223.html"
"Ruth B. Nordstrom, photograph","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1993-04photograph1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","224","tchp224","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/224","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/224/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp224.html"
"Anne L. Gregory, photograph","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1993-04photograph2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","225","tchp225","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/225","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/225/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp225.html"
"Lyn S. Wilhelm, photograph","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1993-04photograph3","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","226","tchp226","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/226","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/226/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp226.html"
"Ren Z. Wilson, photograph","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1993-04photograph4","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","227","tchp227","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/227","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/227/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp227.html"
"Crystal Graham, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1993-04essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","228","tchp228","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/228","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/228.pdf","erika-b.github.io/tchp_dev/items/tchp228.html"
"Ruth B. Nordstrom, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1993-04transcript1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","229","tchp229","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/229","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/229.pdf","erika-b.github.io/tchp_dev/items/tchp229.html"
"Anne L. Gregory, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1993-04transcript2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","230","tchp230","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/230","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/230.pdf","erika-b.github.io/tchp_dev/items/tchp230.html"
"Lyn S. Wilhelm, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1993-04transcript3","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","231","tchp231","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/231","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/231.pdf","erika-b.github.io/tchp_dev/items/tchp231.html"
"Ren Z. Wilson, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1993-04transcript4","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","232","tchp232","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/232","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/232.pdf","erika-b.github.io/tchp_dev/items/tchp232.html"
"Project bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1993-04bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","233","tchp233","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/233","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/233.pdf","erika-b.github.io/tchp_dev/items/tchp233.html"
"American Lake Veterans Affairs Medical Center","Four female veterans reflect on their military careers and share their connections to the Veterans Affairs Medical Center at American Lake. Ruth Nordstrom, a long-time volunteer at American Lake, describes her time as an office clerk for WAAC (Womens Army Corp) during World War II and for WAF (Women in the Air Force) during the Korean War. Anne Gregory, a psychiatric nurse, talks about her experiences in Vietnam as a member of the Army Nurse Corps. Linda Wilhelm, a resident of the domiciliary, discusses her service time in the US Navy during the Vietnam era and describes some of the difficulties she faced as a gay woman in the military. Ren Wilson, a former domiciliary resident, recounts the high and low points of her Army career and talks about the social barriers she encountered as an African-American female officer. All interviewees comment on how the VA can better serve female veterans.","","","1993","","","","","Nordstrom, Ruth B., 1921-2004--Interviews;  Gregory, Anne L., 1948- --Interviews;  Wilhelm, Lyn, 1947- --Interviews;  Wilson, René Z., 1957- --Interviews; Women veterans--Washington (State)--Tacoma--Interviews; Nurses--Washington (State)--Tacoma--Interviews; Gay veterans--Washington (State)--Tacoma--Interviews; Homeless veterans--Washington (State)--Tacoma--Interviews; Veterans&#39; hospitals--Washington (State)--Tacoma; United States. Army--Military life;  United States. Navy--Military life; Veteran reintegration--United States; American Lake Veterans Affairs Medical Center","","","University of Washington Tacoma Community History Project","","chp1993-04","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","image","cpd","","","234","tchp234","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/234","","erika-b.github.io/tchp_dev/items/tchp234.html"
"Joseph Marty, photograph","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1994-04photograph1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","235","tchp235","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/235","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/235/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp235.html"
"Joseph &amp; Katy Schibig, photograph","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1994-04photograph2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Image","image/jpg","","","236","tchp236","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/236","https://digitalcollections.lib.washington.edu//digital/iiif/tacomacomm/236/full/max/0/default.jpg","erika-b.github.io/tchp_dev/items/tchp236.html"
"Pamela M. Hailey, research essay","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1994-04essay","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","237","tchp237","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/237","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/237.pdf","erika-b.github.io/tchp_dev/items/tchp237.html"
"Joseph Marty, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1994-04trascript1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","238","tchp238","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/238","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/238.pdf","erika-b.github.io/tchp_dev/items/tchp238.html"
"Joseph Marty, audio","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1994-04audio1","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","239","tchp239","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/239","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/239","erika-b.github.io/tchp_dev/items/tchp239.html"
"Joseph &amp; Katy Schibig, interview transcript","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1994-04trascript2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","240","tchp240","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/240","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/240.pdf","erika-b.github.io/tchp_dev/items/tchp240.html"
"Joseph &amp; Katy Schibig, audio 1","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1994-04audio2","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","241","tchp241","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/241","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/241","erika-b.github.io/tchp_dev/items/tchp241.html"
"Joseph &amp; Katy Schibig, audio 2","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1994-04audio3","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Audio","audio/mp3","","","242","tchp242","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/242","https://digitalcollections.lib.washington.edu//utils/getstream/collection/tacomacomm/id/242","erika-b.github.io/tchp_dev/items/tchp242.html"
"Project bibliography","","","","","","","","","","","","University of Washington Tacoma Community History Project","","chp1994-04bibliography","","http://rightsstatements.org/page/InC-EDU/1.0/?language=en","Text","application/pdf","","","243","tchp243","","https://digitalcollections.lib.washington.edu//utils/getthumbnail/collection/tacomacomm/id/243","https://digitalcollections.lib.washington.edu//utils/getfile/collection/tacomacomm/id/243.pdf","erika-b.github.io/tchp_dev/items/tchp243.html"
