objectid,cdmid,title,interviewee,interviewer,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,youtubeid,fileid,collectionid
tchp179,179,"Luke Joinette, photograph",,,,,,,,,University of Washington Tacoma Community History Project,chp1991-12photograph,Image,image/jpg,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp180,180,"Cyndi Pierce, research essay",,,,,,,,,University of Washington Tacoma Community History Project,chp1991-12essay,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp181,181,"Luke Joinette, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1991-12trascript1,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp182,182,An Interview with Luke Joinette,"Joinette, Luke, 1908-","Pierce, Cyndi",1991,"Luke Joinette, former Executive Board member and secretary-treasurer for the Tacoma chapter of the Hotel and Restaurant Employees and Bartenders International League, discusses his work with the Local 61 labor union. Recounting the events surrounding the unions 1969 strike, Joinette reflects on the confrontations between picketers and employers and between the local chapter and its national affiliate. He concludes with some thoughts on the current state of the Local 8, the newest incarnation of the Local 61, and on the unions sharp decline in membership since the 1970s.","Joinette, Luke, 1908-1995--Interviews; Hotel & Restaurant Employees and Bartenders International Union. Local 61 (Tacoma, Wash.); Hotel & Restaurant Employees and Bartenders International Union.  Local 8 (Tacoma, Wash.); Labor union members--Washington (State)--Tacoma--Interviews; Labor union members--Washington (State)--Tacoma; Labor movement--Washington (State)--Tacoma; Labor unions--Washington (State)--Tacoma; Strikes and lockouts--Washington (State)--Tacoma",United States--Washington (State)--Pierce County; United States--Washington (State)--Tacoma,,,University of Washington Tacoma Community History Project,chp1991-12,image,cpd,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp183,183,"Nardah L. Fox, research essay",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-05essay,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp184,184,"Lucille Hurst, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-05trascript1,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp185,185,"Rabbi Richard Rosenthal, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-05trascript2,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp186,186,"Steph Farber, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-05trascript3,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp187,187,Project bibliography,,,,,,,,,University of Washington Tacoma Community History Project,chp1992-05bibliography,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp188,188,Tacoma Judaism: One Hundred Years,"Rosenthal, Richard; Farber, Steph; Hurst, Lucille","Fox, Nardah L.",1992,"The interviews with three members of Tacoma's Jewish community, Richard Rosenthal, Steph Farber, and Ruth Hurst, to some degree all touch upon the exodus of businesses (many of them Jewish-owned) from the downtown Tacoma business district. In two interview segments, Rabbi Rosenthal discusses early Jewish settlement in Tacoma, the 1960 merger of existing Conservative and Reform congregations to form Temple Beth El, and adds some details about his early life and training. Farber recounts his beliefs about misguided urban renewal practices of the 1960s and 1970s and reminisces about the many businesses that once flourished in downtown Tacoma. The transcript of the interview with Hurst appears to provide only an excerpt; she discusses her family business, Feist & Bachrach, as well as other downtown Tacoma stores operating prior to 1965.","Farber, Steph--Interviews; Hurst, Lucille--Interviews; Rosenthal, Richard, 1924-1999--Interviews; LeRoy Jewelers (Tacoma, Wash.); Temple Beth El (Tacoma, Wash.); Central business districts--Washington (State)--Tacoma; Jewelers--Washington (State)--Tacoma--Interviews; Jews--Washington (State)--Tacoma--Interviews; Jews--Washington (State)--Tacoma--History; Rabbis--Washington (State)--Tacoma--Interviews; Single mothers--Washington (State)--Tacoma--Interviews; Stores, Retail--Washington (State)--Tacoma--History; Women sculptors--Washington (State)--Tacoma--Interviews; Tacoma (Wash.)--Commerce--History",United States--Washington (State)--Tacoma,,,University of Washington Tacoma Community History Project,chp1992-05,text,cpd,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp189,189,"St. Leo Church, photograph 1",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-08photograph1,Image,image/jpg,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp190,190,"St. Leo Church, photograph 2",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-08photograph2,Image,image/jpg,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp191,191,"Catholic Community Services, photograph",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-08photograph3,Image,image/jpg,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp192,192,"Cynthia Thomas, research essay",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-08essay,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp193,193,"Rev. David Algers, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-08trascript1,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp194,194,"Rev. David Algers, audio",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-08audio1,Audio,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp195,195,"Doris Barkley, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-08trascript2,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp196,196,"Doris Barkley, audio",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-08audio2,Audio,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp197,197,"Fr. Bill Bichsel, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-08trascript3,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp198,198,"Fr. Bill Bichsel, audio 1",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-08audio3,Audio,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp199,199,"Fr. Bill Bichsel, audio 2",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-08audio4,Audio,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp200,200,"Fr. Bill Bichsel, audio 3",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-08audio5,Audio,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp201,201,"Fr. Bill Bichsel, audio 4",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-08audio6,Audio,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp202,202,"Patricia Ditter, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-08trascript4,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp203,203,"Patricia Ditter, audio",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-08audio7,Audio,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp204,204,"Barbara Thomashofski, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-08trascript5,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp205,205,"Barbara Thomashofski, audio",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-08audio8,Audio,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp206,206,Project Bibliography,,,,,,,,,University of Washington Tacoma Community History Project,chp1992-08bibliography,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp207,207,"St. Leo the Great Parish - Tacoma, Washington","Ditter, Patricia; Algers, David; Bichsel, Bill, 1928-2015; Barkley, Doris, 1921-; Thomashofski, Barbara, 1921-","Thomas, Cynthia A.",1992,"Community members and church leaders reflect on the history and legacy of St. Leo Church, a Jesuit parish located in Tacomas Hilltop neighborhood. Long-time parishioners Patricia Ditter and Barbara Thomashofski and former parishioner Doris Barkley discuss the churchs growing pains in the wake of Vatican II and the subsequent emergence of its social justice ministry. Reverend David Alger, director of Associated Ministries, describes some of St. Leos numerous out-reach programs and shares his thoughts on its position as a spiritual anchor within the community. Lastly, Father Bill Bichsel, a former associate pastor at St. Leos and a well-known social activist, discusses his commitment to social justice and his involvement with several church-related projects, such as the Martin Luther King Center.","St. Leo Church (Tacoma, Wash.); Ditter, Patricia--Interviews; Algers, David--Interviews; Bichsel, Bill, 1928-2015--Interviews; Barkley, Doris, 1921--Interviews; Thomashofski, Barbara, 1921--Interviews; Religious institutions--Washington (State)--Tacoma; Church and social problems--Catholic Church; Civic leaders-- Washington (State)--Tacoma--Interviews; Civil rights workers--Washington (State)--Tacoma--Interviews; Civil rights-- Washington (State)--Tacoma; Clergy-- Washington (State)--Tacoma; Neighborhoods-- Washington (State)--Tacoma; Hilltop (Tacoma, Wash.)",United States--Washington (State)--Tacoma,,,University of Washington Tacoma Community History Project,chp1992-08,image,cpd,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp208,208,"Will J. Conner, photograph",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-09photograph1,Image,image/jpg,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp209,209,"Temple Theatre, photograph",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-09photograph2,Image,image/jpg,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp210,210,"Barbara A. Smith, research essay",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-09essay,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp211,211,"Will J. Conner, interview transcript 1",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-09trascript1,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp212,212,"Will J. Conner, audio 1",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-09audio1,Audio,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp213,213,"Will J. Conner, audio 2",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-09audio2,Audio,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp214,214,"Will J. Conner, interview transcript 2",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-09trascript2,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp215,215,"Will J. Conner, audio 3",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-09audio3,Audio,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp216,216,Project Bibliography,,,,,,,,,University of Washington Tacoma Community History Project,chp1992-09bibliography,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp217,217,From Tules to Tiaras: A History of the Masonic Temple Building and Temple Theatre,"Conner, Will J., 1904-1996","Smith, Barbara A.",1992,"Will James Conner talks about his fifty years in the theater management business and shares some of the history of the Temple Theatre, which he ran from 1932 to 1975. Reflecting back on hundreds of stage shows, music productions, and motion pictures, Conner provides some insight into the changing face of entertainment and entertainment technology before, during, and after World War II. In addition to the Temple, Conner also managed a number of other Tacoma theaters, including the Blue Mouse, the Music Box, the Rialto, and the Roxy (now the Pantages), and he touches upon each of these during this lengthy, in-depth interview.","Conner, Will J., 1904-1996; Businesspeople--Washington (State)--Tacoma--Interviews; Theatrical managers--Washington (State)--Tacoma--Interviews; Motion picture theater managers--Washington (State)--Tacoma--Interviews; Theaters--Washington (State)--Tacoma; Musical theater--Washington (State)--Tacoma; World War, 1939-1945--Social aspects; Tacoma (Wash.)--Buildings, structures, etc.",United States--Washington (State)--Seattle; United States--Washington (State)--Tacoma; United States--Washington (State)--Auburn; United States--Washington (State)--Chehalis,,,University of Washington Tacoma Community History Project,chp1992-09,image,cpd,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp218,218,"Labor Day Parade 1919, photograph",,,,,,,,,University of Washington Tacoma Community History Project,chp1993-02photo,Image,image/jpg,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp219,219,"Kendra Fitzpatrick, research essay",,,,,,,,,University of Washington Tacoma Community History Project,chp1993-02essay,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp220,220,"Ottilie Markholt, interview transcript 1",,,,,,,,,University of Washington Tacoma Community History Project,chp1993-02trascript1,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp221,221,"Ottilie Markholt, interview transcript 2 with photos",,,,,,,,,University of Washington Tacoma Community History Project,chp1993-02trascript2,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp222,222,Project bibliography,,,,,,,,,University of Washington Tacoma Community History Project,chp1993-02bibliography,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp223,223,A Blue Collar Town: The Tacoma Labor Movement,"Markholt, Ottilie","Fitzpatrick, Kendra",1993,"Ottilie Markholt talks about her involvement with various Pierce County labor unions, including the Metal Trades Council and the Office Employees Union, and shares some historical perspective on the Tacoma labor movement. A noted author and historian, Markholt also describes her efforts in chronicling the histories of individual union chapters and their national affiliates and provides commentary on a series of photographs showcasing union activities during the 1920s, 1930s, and 1940s.","Markholt, Ottilie--Interviews; Historians--Washington (State)--Tacoma--Interviews; Women labor union members--Washington (State)--Tacoma--Interviews; Labor--Washington (State)--History; Women labor union members--History; Tacoma (Wash.)--History",United States-- Washington (State)--Tacoma; United States--Washington (State)--Seattle,,,University of Washington Tacoma Community History Project,chp1993-02,image,cpd,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp224,224,"Ruth B. Nordstrom, photograph",,,,,,,,,University of Washington Tacoma Community History Project,chp1993-04photograph1,Image,image/jpg,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp225,225,"Anne L. Gregory, photograph",,,,,,,,,University of Washington Tacoma Community History Project,chp1993-04photograph2,Image,image/jpg,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp226,226,"Lyn S. Wilhelm, photograph",,,,,,,,,University of Washington Tacoma Community History Project,chp1993-04photograph3,Image,image/jpg,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp227,227,"Ren Z. Wilson, photograph",,,,,,,,,University of Washington Tacoma Community History Project,chp1993-04photograph4,Image,image/jpg,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp228,228,"Crystal Graham, research essay",,,,,,,,,University of Washington Tacoma Community History Project,chp1993-04essay,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp229,229,"Ruth B. Nordstrom, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1993-04transcript1,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp230,230,"Anne L. Gregory, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1993-04transcript2,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp231,231,"Lyn S. Wilhelm, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1993-04transcript3,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp232,232,"Ren Z. Wilson, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1993-04transcript4,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp233,233,Project bibliography,,,,,,,,,University of Washington Tacoma Community History Project,chp1993-04bibliography,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp234,234,American Lake Veterans Affairs Medical Center,"Nordstrom, Ruth B., 1921-2004; Gregory, Anne L., 1948-; Wilhelm, Lyn, 1947- ;Wilson, René Z., 1957-","Graham, Crystal",1993,"Four female veterans reflect on their military careers and share their connections to the Veterans Affairs Medical Center at American Lake. Ruth Nordstrom, a long-time volunteer at American Lake, describes her time as an office clerk for WAAC (Womens Army Corp) during World War II and for WAF (Women in the Air Force) during the Korean War. Anne Gregory, a psychiatric nurse, talks about her experiences in Vietnam as a member of the Army Nurse Corps. Linda Wilhelm, a resident of the domiciliary, discusses her service time in the US Navy during the Vietnam era and describes some of the difficulties she faced as a gay woman in the military. Ren Wilson, a former domiciliary resident, recounts the high and low points of her Army career and talks about the social barriers she encountered as an African-American female officer. All interviewees comment on how the VA can better serve female veterans.","Nordstrom, Ruth B., 1921-2004--Interviews;  Gregory, Anne L., 1948- --Interviews;  Wilhelm, Lyn, 1947- --Interviews;  Wilson, René Z., 1957- --Interviews; Women veterans--Washington (State)--Tacoma--Interviews; Nurses--Washington (State)--Tacoma--Interviews; Gay veterans--Washington (State)--Tacoma--Interviews; Homeless veterans--Washington (State)--Tacoma--Interviews; Veterans' hospitals--Washington (State)--Tacoma; United States. Army--Military life;  United States. Navy--Military life; Veteran reintegration--United States; American Lake Veterans Affairs Medical Center",United States --Washington (State)--Lakewood,,,University of Washington Tacoma Community History Project,chp1993-04,image,cpd,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp235,235,"Joseph Marty, photograph",,,,,,,,,University of Washington Tacoma Community History Project,chp1994-04photograph1,Image,image/jpg,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp236,236,"Joseph & Katy Schibig, photograph",,,,,,,,,University of Washington Tacoma Community History Project,chp1994-04photograph2,Image,image/jpg,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp237,237,"Pamela M. Hailey, research essay",,,,,,,,,University of Washington Tacoma Community History Project,chp1994-04essay,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp238,238,"Joseph Marty, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1994-04trascript1,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp239,239,"Joseph Marty, audio",,,,,,,,,University of Washington Tacoma Community History Project,chp1994-04audio1,Audio,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp240,240,"Joseph & Katy Schibig, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1994-04trascript2,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp241,241,"Joseph & Katy Schibig, audio 1",,,,,,,,,University of Washington Tacoma Community History Project,chp1994-04audio2,Audio,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp242,242,"Joseph & Katy Schibig, audio 2",,,,,,,,,University of Washington Tacoma Community History Project,chp1994-04audio3,Audio,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp243,243,Project bibliography,,,,,,,,,University of Washington Tacoma Community History Project,chp1994-04bibliography,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp244,244,Swiss immigration,"Schibig, Joseph, 1898-2001; Schibig, Katy, 1916-1995; Marty, Joseph, 1912-2001; Inderbitzen, Dick","Hailey, Pamela M.",1994,"Joseph and Katy Schibig and Joseph Marty describe their experiences as Swiss immigrants to Tacoma and reflect on the legacy of the citys close-knit Swiss community. Areas of focus include the Tacoma Swiss Society and the Swiss Hall and Tavern, which Marty managed from 1952 to 1963.","Marty, Joseph, 1912-2001--Interviews; Schibig, Joseph 1898-2001--Interviews; Schibig, Katy, 1916-1995--Interviews; Inderbitzen, Dick--Interviews; Swiss Americans--Washington (State)--Tacoma--Interviews; Immigrants--Washington (State)--Tacoma--Interviews; usinesspeople--Washington (State)--Tacoma--Interviews; Dairy farmers--Washington (State)--Tacoma--Interviews; Sanitation workers--Washington (State)--Tacoma--Interviews; Fraternal organizations--Washington (State)--Tacoma; Fraternal organizations--Washington (State)--Tacoma--Buildings; United States--Emigration and immigration; Americanization; Tacoma (Wash.)--History",United States--Washington (State)--Tacoma,,,University of Washington Tacoma Community History Project,chp1994-04,image,cpd,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp245,245,"Lewis-McChord Free Press cover, image",,,,,,,,,University of Washington Tacoma Community History Project,chp1994-05image,Image,image/jpg,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp246,246,"Beula Robb, research essay",,,,,,,,,University of Washington Tacoma Community History Project,chp1994-05essay,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp247,247,"Michael Royce, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1994-05trascript,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp248,248,"Michael Royce, audio",,,,,,,,,University of Washington Tacoma Community History Project,chp1992-08audio,Audio,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp249,249,Winning the Hearts and Minds of Fort Lewis and McChord GIs During the Vietnam Era,"Royce, Michael, 1946-","Robb, Beula",1994,"Michael Royce discusses his time as a civil rights activist in the South and shares his thoughts on college life during the tumultuous 1960s. Drafted into the army following his graduation from college in 1968, Royce reflects on his military experience at Fort Lewis and talks about his involvement with the Lewis-McChord Free Press, an underground anti-war newspaper.","Royce, Michael, 1946--Interviews; Veterans--Washington (State)--Tacoma--Interviews; Pacifists--Washington (State)--Tacoma--Interviews; Soldiers--Political activity--Washington (State)--Joint Base Lewis-McChord; Peace movements--Washington (State)--Joint Base Lewis-McChord; Vietnam War, 1961-1975--Protest movements--Washington (State)--Joint Base Lewis-McChord; United States--Armed Forces--Political activity; Lewis-McChord free press; Underground newspapers--Washington (State)--Joint Base Lewis-McChord",United States--Washington (State)--Pierce County; United States--Washington (State)--Tacoma,,,University of Washington Tacoma Community History Project,chp1994-05,text,cpd,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp250,250,"Barbara Shaw, research essay",,,,,,,,,University of Washington Tacoma Community History Project,chp1994-06essay,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp251,251,"Dr. Thomas W. Anderson, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1994-06trascript,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp252,252,"Dr. Thomas W. Anderson, audio 1",,,,,,,,,University of Washington Tacoma Community History Project,chp1994-06audio1,Audio,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp253,253,"Dr. Thomas W. Anderson, audio 2",,,,,,,,,University of Washington Tacoma Community History Project,chp1994-06audio2,Audio,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp254,254,"Dr. Thomas W. Anderson, audio 3",,,,,,,,,University of Washington Tacoma Community History Project,chp1994-06audio3,Audio,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp255,255,Project bibliography,,,,,,,,,University of Washington Tacoma Community History Project,chp1994-06bibliography,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp256,256,A concrete look at our community,"Anderson, Thomas W.","Shaw, Barbara Lindula",1994,"Dr. Thomas W. Anderson, co-founder of Concrete Technology Corporation (CTC), shares his personal history and gives an economic and historical overview of CTC, the first prestressed concrete manufacturing plant in the U.S. He discusses CTC's pioneering role in the prestressed concrete industry, its major milestones, and its philosophy of corporate responsibility.","Anderson, Thomas W., 1912-2000--Interviews; Anderson, Arthur R., 1910-1995; Civil engineers--Washington (State)--Tacoma--Interviews; Businesspeople--Washington (State)--Tacoma--Interviews; Civic leaders--Washington (State)--Tacoma--Interviews; Concrete Technology Corporation; Concrete construction industry--Washington (State)--Tacoma; Prestressed concrete construction--Washington (State)--Tacoma; Tacoma (Wash.)--History",United States--Washington (State)--Tacoma,,,University of Washington Tacoma Community History Project,chp1994-06,text,cpd,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp257,257,"Lena Landry, photograph",,,,,,,,,University of Washington Tacoma Community History Project,chp1998-03photograph1,Image,image/jpg,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp258,258,"Judy Wright, photograph",,,,,,,,,University of Washington Tacoma Community History Project,chp1998-03photograph2,Image,image/jpg,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp259,259,"Charles H. Thomas, photograph",,,,,,,,,University of Washington Tacoma Community History Project,chp1998-03photograph3,Image,image/jpg,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp260,260,"Darlyne Reiter, research essay",,,,,,,,,University of Washington Tacoma Community History Project,chp1998-03essay,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp261,261,"Lena Landry, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1998-03transcript1,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp262,262,"Lena Landry, audio",,,,,,,,,University of Washington Tacoma Community History Project,chp1998-03audio1,Audio,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp263,263,"Judy Wright, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1998-03transcript2,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp264,264,"Judy Wright, audio",,,,,,,,,University of Washington Tacoma Community History Project,chp1998-03audio2,Audio,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp265,265,"Charles H. Thomas, interview transcript",,,,,,,,,University of Washington Tacoma Community History Project,chp1998-03transcript3,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp266,266,"Charles H. Thomas, audio",,,,,,,,,University of Washington Tacoma Community History Project,chp1998-03audio3,Audio,audio/mp3,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp267,267,Project bibliography,,,,,,,,,University of Washington Tacoma Community History Project,chp1998-03bibliography,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp268,268,Peter C. Stanup: A Leader Among the Generous People,"Landry, Lena, 1919-2010; Wright, Judy, 1939-2013; Thomas, Charles, 1936-","Reiter, Darlyne",1998,"Puyallup Tribal Elder Lena Landry and Puyallup Tribal Historian Judy Wright discuss the plight of Pacific Northwest Native Americans during the late nineteenth and early twentieth centuries and reflect on the life of Peter Stanup, a Puyallup tribal leader and activist whose 1893 death remains a source of enduring controversy. Charles Thomas, Peter Stanup's great-grandson, also shares his family's quest to uncover their history and their discovery of their connection to Stanup.","Stanup, Peter C., 1858?-1893; Landry, Lena, 1919-2010--Interviews; Wright, Judy, 1939-2013--Interviews; Thomas, Charles, 1936- --Interviews; Puyallup Indians--History--Sources; Indians of North America--Washington (State)--History--Sources",United States--Washington (State)--Tacoma; United States--Washington (State)--Pierce County,,,University of Washington Tacoma Community History Project,chp1998-03,image,cpd,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
tchp269,269,"Alison H. Sonntag, research essay",,,,,,,,,University of Washington Tacoma Community History Project,chp1994-08essay,Text,application/pdf,,,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,,,
